"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 26 14:59:19 IST 2023","Fri May 26 14:59:26 IST 2023","7021","","Testing Khan Academy","","","","Verify Recent Lessons",""
"passed","Fri May 26 15:00:15 IST 2023","Fri May 26 15:00:25 IST 2023","9751","","Testing Khan Academy","","","","Extra03:: Toggle buttons",""
"passed","Fri May 26 14:59:26 IST 2023","Fri May 26 14:59:57 IST 2023","31345","","Testing Khan Academy","","","","Extra01:: Hybrid switch",""
"passed","Fri May 26 14:57:00 IST 2023","Fri May 26 14:57:23 IST 2023","22413","","Testing Khan Academy","","","","Mobile Test WebdriveriO",""
"passed","Fri May 26 14:58:16 IST 2023","Fri May 26 14:58:21 IST 2023","5210","","Testing Khan Academy","","","","Tap on BookMark",""
"passed","Fri May 26 15:00:25 IST 2023","Fri May 26 15:00:30 IST 2023","5198","","Testing Khan Academy","","","","Close the Application",""
"passed","Fri May 26 14:59:57 IST 2023","Fri May 26 15:00:15 IST 2023","18040","","Testing Khan Academy","","","","Extra02:: Changing Logo",""
"passed","Fri May 26 14:58:02 IST 2023","Fri May 26 14:58:16 IST 2023","13479","","Testing Khan Academy","","","","Back to Computer Science",""
"passed","Fri May 26 14:57:23 IST 2023","Fri May 26 14:58:02 IST 2023","39513","","Testing Khan Academy","","","","Bookmark Click",""
"passed","Fri May 26 14:58:37 IST 2023","Fri May 26 14:59:19 IST 2023","41602","","Testing Khan Academy","","","","Play Video for 15 Seconds",""
"passed","Fri May 26 14:58:21 IST 2023","Fri May 26 14:58:37 IST 2023","16009","","Testing Khan Academy","","","","Clear All BookMark",""
